edgeID, startNode, endNode
CCONF002L1_WELEV00HL1, WELEV00HL1, CCONF002L1
CCONF003L1_CHALL002L1, CHALL002L1, CCONF003L1
CDEPT002L1_CDEPT003L1, CDEPT003L1, CDEPT002L1
CDEPT003L1_CHALL014L1, CHALL014L1, CDEPT003L1
CDEPT004L1_CHALL002L1, CHALL002L1, CDEPT004L1
CHALL001L1_CREST001L1, CREST001L1, CHALL001L1
CHALL002L1_CSERV001L1, CSERV001L1, CHALL002L1
CHALL003L1_CCONF003L1, CCONF003L1, CHALL003L1
CHALL003L1_CLABS004L1, CLABS004L1, CHALL003L1
CHALL004L1_CREST004L1, CREST004L1, CHALL004L1
CHALL005L1_WELEV00ML1, WELEV00ML1, CHALL005L1
CHALL006L1_CHALL007L1, CHALL007L1, CHALL006L1
CHALL007L1_CHALL008L1, CHALL008L1, CHALL007L1
CHALL008L1_CDEPT004L1, CDEPT004L1, CHALL008L1
CHALL008L1_WELEV00KL1, WELEV00KL1, CHALL008L1
CHALL009L1_CHALL010L1, CHALL010L1, CHALL009L1
CHALL009L1_CRETL001L1, CRETL001L1, CHALL009L1
CHALL010L1_CREST003L1, CREST003L1, CHALL010L1
CHALL011L1_WELEV00JL1, WELEV00JL1, CHALL011L1
CHALL012L1_CHALL013L1, CHALL013L1, CHALL012L1
CHALL013L1_CDEPT002L1, CDEPT002L1, CHALL013L1
CHALL014L1_WELEV00LL1, WELEV00LL1, CHALL014L1
CHALL015L1_CCONF001L1, CCONF001L1, CHALL015L1
CHALL015L1_CHALL011L1, CHALL011L1, CHALL015L1
CLABS001L1_CREST002L1, CREST002L1, CLABS001L1
CLABS002L1_CHALL005L1, CHALL005L1, CLABS002L1
CLABS002L1_CREST001L1, CREST001L1, CLABS002L1
CLABS003L1_CHALL006L1, CHALL006L1, CLABS003L1
CLABS004L1_CLABS003L1, CLABS003L1, CLABS004L1
CLABS005L1_CHALL003L1, CHALL003L1, CLABS005L1
CREST002L1_CHALL006L1, CHALL006L1, CREST002L1
CREST003L1_CHALL015L1, CHALL015L1, CREST003L1
CREST004L1_CLABS005L1, CLABS005L1, CREST004L1
CRETL001L1_CHALL012L1, CHALL012L1, CRETL001L1
CSERV001L1_CCONF002L1, CCONF002L1, CSERV001L1
WELEV00HL1_CHALL004L1, CHALL004L1, WELEV00HL1
WELEV00KL1_CHALL009L1, CHALL009L1, WELEV00KL1
WELEV00LL1_CHALL001L1, CHALL001L1, WELEV00LL1
WELEV00ML1_CLABS001L1, CLABS001L1, WELEV00ML1
GEXIT001L1_GHALL002L1, GHALL002L1, GEXIT001L1
GHALL002L1_GHALL003L1, GHALL003L1, GHALL002L1
GHALL003L1_GHALL004L1, GHALL004L1, GHALL003L1
GHALL003L1_GHALL005L1, GHALL005L1, GHALL003L1
GHALL005L1_GSTAI008L1, GSTAI008L1, GHALL005L1
GHALL005L1_GHALL006L1, GHALL006L1, GHALL005L1
GHALL006L1_GELEV007L1, GELEV00QL1, GHALL006L1
pPARK001_pWALK001,pPARK001,pWALK001
pPARK002_pWALK001,pPARK002,pWALK001
pPARK003_pWALK001,pPARK003,pWALK001
pPARK004_pWALK001,pPARK004,pWALK001
pPARK005_pWALK001,pPARK005,pWALK001
pPARK006_pWALK001,pPARK006,pWALK001
pPARK007_pWALK001,pPARK007,pWALK001
pPARK008_pWALK001,pPARK008,pWALK001
pPARK009_pWALK001,pPARK009,pWALK001
pPARK010_pWALK001,pPARK010,pWALK001
pPARK011_pWALK004,pPARK011,pWALK004
pPARK012_pWALK004,pPARK012,pWALK004
pPARK013_pWALK004,pPARK013,pWALK004
pPARK014_pWALK004,pPARK014,pWALK004
pPARK015_pWALK004,pPARK015,pWALK004
pPARK016_pWALK004,pPARK016,pWALK004
pPARK017_pWALK004,pPARK017,pWALK004
pPARK018_pWALK004,pPARK018,pWALK004
pPARK019_pWALK004,pPARK019,pWALK004
pPARK020_pWALK004,pPARK020,pWALK004
pPARK021_pWALK004,pPARK021,pWALK004
pPARK022_pWALK004,pPARK022,pWALK004
pPARK023_pWALK004,pPARK023,pWALK004
pPARK024_pWALK004,pPARK024,pWALK004
pPARK025_pWALK004,pPARK025,pWALK004
pWALK001_pWALK002,pWALK001,pWALK002
pWALK002_pWALK003,pWALK002,pWALK003
pWALK003_pEXIT001,pWALK003,pEXIT001
pWALK003_pEXIT002,pWALK003,pEXIT002
pWALK004_pWALK005,pWALK004,pWALK005
pWALK005_pEXIT001,pWALK005,pEXIT001
pWALK005_pEXIT002,pWALK005,pEXIT002
pEXIT001_FEXIT00201,pEXIT001,FEXIT00201
pEXIT002_FEXIT00301,pEXIT002,FEXIT00301
